ht_ppg,ht_rpg,ht_apg,ht_spg,ht_bpg,ht_topg,ho_ppg,ho_rpg,ho_apg,ho_spg,ho_bpg,ho_topg,h_ortg,h_drtg,h_efg,h_tov,h_oreb,h_ftf,at_ppg,at_rpg,at_apg,at_spg,at_bpg,at_topg,ao_ppg,ao_rpg,ao_apg,ao_spg,ao_bpg,ao_topg,a_ortg,a_drtg,a_efg,a_tov,a_reb,a_ftf,act_spread,vegas_ou
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.462617,0.131399,0.311688,0.233645,100.793,45.7439,21.7195,6.2683,5.8049,13.1707,97.7927,43.4268,20.2073,7.4878,5.4024,11.6707,109.989,106.259,0.471496,0.122268,0.302632,0.213777,5,16
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.478873,0.111268,0.247748,0.220657,103.927,43.6829,22.1951,9.4756,4.9634,15.939,100.488,43.8293,21.3659,8.8537,5.3293,15.5122,109.33,105.549,0.521028,0.149307,0.264317,0.203271,7,6
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.473068,0.112339,0.25,0.224824,94.6829,39.122,19.8293,7.8293,4.5366,13.8902,97.2805,40.9878,21.3171,7.878,4.378,14.0732,106.757,109.03,0.435802,0.129845,0.264317,0.177778,-4,8
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.466102,0.119157,0.233645,0.179177,101.463,44.6951,21.8049,7.8171,4.4756,13.8171,105.012,45.0854,23.0976,7.4512,6.1463,13.6829,106.274,110.69,0.455097,0.117889,0.240175,0.247573,-4,-4
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.462791,0.113925,0.262222,0.174419,91.9756,42.8537,20.5244,9.622,5.939,16.9024,100.951,46.2561,23.6829,9.5,5.5366,15.9268,97.6621,107.235,0.52381,0.16168,0.247312,0.23545,-9,-11
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.489387,0.116279,0.254545,0.150943,102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.510514,0.121333,0.316742,0.247664,7,-1
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.497685,0.141753,0.271493,0.212963,91.8902,40.3659,21.2927,7.0122,4.6585,13.7683,101.207,43.5,21.7439,8.0366,4.3049,13.4024,102.187,112.459,0.46577,0.137489,0.244444,0.193154,-11,-21
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.506818,0.141164,0.279279,0.215909,94.1585,44.061,20.1707,6.0854,5.4634,11.1707,97.3293,44.122,22.1341,6.122,5.3659,12.0366,102.462,105.796,0.470443,0.112037,0.184332,0.194581,-2,-8
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.530474,0.137967,0.271493,0.198646,109.951,44.7195,27.4146,9.2927,6.0488,14.0976,99.8537,44.5488,20.9512,8.2927,3.5732,15.5366,114.645,103.011,0.528894,0.162662,0.19697,0.248744,8,5
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.498945,0.100515,0.284553,0.14557,95.1341,43.9634,19.9024,7.5976,5.9634,14.2195,94.9146,39.2317,19.439,8.2195,4.6585,12.561,108.077,106.951,0.432161,0.151311,0.277056,0.223618,-1,-1
